Genus_Species, Ref (17) , Ref (18) , Ref (3) , Ref (35) , Ref (63) , Ref (64) , Ref (65) , Ref (66) ,Social System,Mating System
Cebus_apella, MM , NA , NA , NA , NA , MM , MMMF , MMMF ,Polygynandry,Polygynandry
Cebus_capucinus, NA , NA , Harem , NA , NA , NA , NA , MMMF ,Polygynandry,Harem Polygyny
Cebus_olivaceus, NA , NA , MMMF , NA , NA , MM UM , NA , NA ,Polygynandry,Polygynandry
Cercocebus_agilis, NA , NA , NA , NA , NA , NA , MMMF , MMMF ,Polygynandry,Polygynandry
Cercocebus_galeritus, NA , NA , MMMF , NA , NA , MM , NA , MMMF ,Polygynandry,Polygynandry
Cercocebus_torquatus, NA , NA , NA , NA , NA , MM , MMMF , MMMF ,Polygynandry,Polygynandry
Cercocebus_torquatus_atys, NA , NA , NA , NA , NA , NA , NA , MMMF ,Polygynandry,Polygynandry
Cercopithecus_ascanius, Harem , NA , Harem , NA , NA , MM and UM , Harem , UM ,Polygyny,Harem Polygyny
Cercopithecus_campbelli, NA , NA , Harem , NA , NA , NA , NA , UM ,Polygyny,Harem Polygyny
Cercopithecus_cephus, NA , NA , Harem , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Cercopithecus_diana, NA , NA , NA , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Cercopithecus_lhoesti, NA , NA , Harem , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Cercopithecus_mitis, Harem , NA , Harem , NA , NA , UM , Harem ," UM, MMMF ",Polygynandry,Harem Polygyny
Cercopithecus_mona, NA , NA , Harem , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Cercopithecus_neglectus, NA , NA , Harem , NA , NA , Mon and UM , Harem ," PL, UM ",Polygyny,Harem Polygyny
Cercopithecus_nictitans, NA , NA , Harem , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Cercopithecus_pogonias, NA , NA , Harem , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Cheirogaleus_major, NA , NA , NA , NP , Solitary , NA , NA , S ,Solitary,Spatial Polygyny
Cheirogaleus_medius, S , NA , NA , Pair , Solitary , Mon , Solitary , S ,Solitary,Monogamy
Chiropotes_satanas, NA , NA , NA , NA , NA , MM , Mon , NA ,Polygynandry,Polygynandry
Chlorocebus_aethiops, NA , MMMF , NA , NA , NA , MM , MMMF , MMMF ,Polygynandry,Polygynandry
Chlorocebus_pygerythrus, NA , NA , MMMF , NA , NA , NA , NA , MMMF ,Polygynandry,Polygynandry
Colobus_angolensis, NA , NA , Harem , NA , NA , MM , MMMF ," PL, UM, MMMF ",Polygynandry,Harem Polygyny
Colobus_guereza, NA , NA , Harem , NA , NA , MM and UM , Harem ," PL, UM, MMMF ",Polygynandry,Harem Polygyny
Colobus_polykomos, NA , Harem , Harem , NA , NA , MM and UM , MMMF ," UM, MMMF ",Polygynandry,Harem Polygyny
Colobus_satanas, NA , NA , MMMF , NA , NA , MM and UM , MMMF , NA ,Polygynandry,Polygynandry
Daubentonia_madagascariensis, NA , NA , NA , NP , Solitary , NA , NA , S ,Solitary,Spatial Polygyny
Erythrocebus_patas, Harem , NA , Harem , NA , NA , UM , Harem , UM ,Polygyny,Harem Polygyny
Eulemur_coronatus, NA , NA , NA , NP , NA , MM , MMMF , MMMF ,Polygynandry,Polygynandry
