museum,acc.no,taxon,MC1.L,MC1.BML,MC1.BDP,MC1.MSML,MC1.MSDP,MC1.HML,MC1.HDP,MC5.L,MC5.BML,MC5.BDP,MC5.MSML,MC5.MSDP,MC5.HML,MC5.HDP,PP3.L,PP3.BML,PP3.BDP,PP3.MSML,PP3.MSDP,PP3.TML,PP3.TDP,IP3.L,IP3.BML,IP3.BDP,IP3.TML,IP3.TDP
AMNH,98/275,Homo_sapiens,41.83,16.83,15,13.54,9.09,15.7,13.8,50.85,13.99,11.32,8.84,7.32,12.15,12.25,43.81,17.88,14.04,11.15,8.73,13.39,9.43,31.62,16.17,12.08,11.46,7.18
AMNH,98/276,Homo_sapiens,49.16,16.63,16.58,12.33,8.87,15.75,13.49,56.25,13.63,12.45,7.96,6.94,12.6,12.08,47.85,16.83,12.71,10.91,7.95,12.88,9.14,31.89,14.67,9.65,9.38,6.49
AMNH,98/260,Homo_sapiens,46.15,13.89,13.98,11.5,8.12,15.29,11.91,53.48,12.11,10.12,9,6.36,10.88,10.81,49.94,14.56,11.76,9.57,6.53,11.02,7.64,32.43,12.58,9.69,9.01,5.94
AMNH,98/258,Homo_sapiens,43.98,15,14.77,12.65,8.55,13.02,11.99,55.13,11.33,9.89,7.71,6.31,10.71,11.21,46.78,14.87,11.87,8.71,6.94,11.27,7.96,32.66,13.05,10.01,8.87,5.4
AMNH,98/228,Homo_sapiens,41.94,13.72,14.12,10.44,8.31,12.26,12.56,49.09,12.76,11,6.98,6.32,10.39,10.25,44.03,14.83,11.61,9.24,6.98,10.69,7.95,29.27,12.45,8.69,8.3,5.96
AMNH,98/219,Homo_sapiens,42.42,14.28,12.94,10.33,7.09,12.55,11.71,47.15,12.16,9.57,7.2,5.57,10.07,10.33,38.84,14.1,10.55,9.19,6.12,11.01,7.06,25.52,12.33,8.52,8.72,5.28
AMNH,51381,Pan_troglodytes,38.11,10.35,16.65,8.7,7.18,10.26,11.11,72.68,10.59,8.64,6.78,5.76,9.09,12.3,55.73,15.91,15.37,11.51,8.26,12.96,9.75,42.43,14.98,11.75,10.14,7.03
AMNH,51377,Pan_troglodytes,45.6,13.76,11.62,8.43,5.88,9.86,11.15,83.1,8.98,10.41,6.22,7.21,9.15,13.39,60.37,15.44,16.28,12.47,9.38,11.57,11.16,46.38,14.78,11.69,9.32,6.67
AMNH,51393,Pan_troglodytes,40.33,11.4,12.01,9.28,6.65,9.58,10.48,77.54,8.58,10.57,7.74,6.81,10.42,13.32,59.1,16.85,15.02,14.03,9.15,12.96,10.47,44.27,15.83,10.86,10.08,7.1
AMNH,51202,Pan_troglodytes,42.07,10.82,11.74,8.68,6.17,10.17,9.09,76.66,8.54,9.23,7.14,6.01,9.98,12.53,60.35,15.76,14.4,11.18,8.13,11.59,10.15,42.7,15.16,12.19,9.36,6.73
AMNH,51379,Pan_troglodytes,40.58,12.51,12.29,7.65,5.53,9.77,10.39,73.55,8.61,9.93,6.17,6.34,9.11,11.69,61.14,16.58,14.16,10.34,8.19,12.1,10.23,44.27,15.36,13.58,9.81,6.55
AMNH,90293,Pan_troglodytes,42.84,11.16,12.7,9.32,7.51,10.08,9.88,81.25,9.39,11.22,8.47,6.46,10.25,13.01,64.46,17.1,15.74,13.31,9.23,13.19,11.42,45.48,16.36,12.33,11.42,7.81
AMNH,90292,Pan_troglodytes,40.12,10.08,10.96,7.52,6.34,8.31,9.3,75.44,8.48,9.38,7.46,5.78,8.61,11.51,60.37,15.38,14.32,11.6,8.67,12.08,10.06,42.18,15.16,11.65,9.24,6.54
AMNH,167344,Pan_troglodytes,39.86,9.9,11.02,8.49,6.29,8.79,9.9,73.76,9.15,11.14,7.46,6.81,10.27,13.25,57.83,16.54,16.04,13.96,9.05,12.46,10.38,41.2,15.01,11.78,9.76,6.83
AMNH,167346,Pan_troglodytes,37.46,10.95,11.77,7.93,6.62,8.9,9.75,69.66,9.47,10.74,7.04,5.7,9.3,12.59,58.7,16.17,15.75,13.35,8.78,12.46,10.13,42.42,16.51,12.21,9.52,6.6
AMNH,10276,Pan_troglodytes,40.56,9.83,12.06,6.48,5.99,8.17,8.96,80.26,8.61,9.89,7.97,5.38,8.51,13.27,66.48,17.26,14.81,15.73,6.58,12.43,11.19,47.42,15.72,12.35,10.88,8.14
AMNH,51278,Pan_troglodytes,39.91,12.05,14.22,8.3,7.21,9.59,11.02,74.3,9.6,11.63,7.35,6.91,9.67,14.05,57.95,17.27,15.53,13.96,7.93,12.86,12.19,41.9,16.02,11.61,10.01,7.15
AMNH,89354,Pan_troglodytes,37.88,11.89,12.25,8.33,6.66,9.47,10.12,71.66,9.5,9.04,6.29,5.89,9.52,11.31,56.43,16,14.43,11.31,6.97,12.37,10.65,41.24,14.47,10.92,9.45,6.73
AMNH,89353,Pan_troglodytes,40.32,10.91,12.13,7.98,6.33,8.44,9.31,81.77,9.42,8.89,6.82,7.09,10.55,14.4,63.91,17.22,15.18,12.1,8.19,13.31,11.03,49.09,16.24,11.76,10.17,7.07
AMNH,89355,Pan_troglodytes,38.88,11.98,12.01,8.04,6.33,9.28,10.5,73.45,8.95,9.59,7.19,6.48,9.84,13.5,57.59,15.94,15.35,11.19,7.08,12.32,10.93,42.6,14.57,12.66,8.81,6.36
USNM,220065,Pan_troglodytes,36.38,11.64,12,8.31,6.54,10.04,10.37,70.55,10.17,12.23,8.22,6.78,10.58,13.8,59.33,18.94,17.9,13.7,8.13,13.91,11.01,41.89,17.26,12.58,10.4,7.42
USNM,220062,Pan_troglodytes,37.49,11.69,10.63,7.61,5.66,8.95,9.18,71,8.4,9.04,6.03,5.55,9.31,11.96,58.81,15.37,14.31,12.2,7.4,12,9.42,43.05,14.2,10.98,9.03,6.51
USNM,220063,Pan_troglodytes,38.05,11.9,12.76,7.28,5.88,9.32,10.09,70.69,10.05,9.78,5.84,5.69,9.68,12.98,62.52,16.6,14.72,12.58,8.6,14.18,11.43,43.09,15.5,13.12,9.27,5.81
USNM,176226,Pan_troglodytes,36,9.72,10.32,6.89,5.69,7.8,9.13,67.68,8.67,7.02,6.2,6.1,7.91,11.52,53.44,13.94,13.6,10.29,6.35,10.61,8.73,38.28,13.54,10.23,8.26,5.64
USNM,176229,Pan_troglodytes,44.85,12.09,13.43,9.68,7.65,10.23,10.25,81.55,12,10.62,8.56,6.52,10.97,13.09,64.11,17.81,15.67,14.59,9.33,13.96,11.35,44.76,16.48,12.05,10.52,7.76
USNM,176230,Pan_troglodytes,41.41,10.61,13.28,8.56,6.49,9.36,10.43,78.3,10.75,10.33,6.9,5.79,9.09,13.56,65.18,16.35,15.66,11.63,8.29,12.67,11.63,44.82,15.51,12.68,10.38,7.07
USNM,220327,Pan_troglodytes,46.49,10.81,12.33,6.88,6.42,8.78,9.95,81.89,10.29,10.02,6.35,5.58,9.15,12.49,65.55,16.83,14.05,13.31,7.78,12.09,11.1,48.49,14.5,10.99,9.63,6.86
CMNH,HTB 1713,Pan_troglodytes,37.04,10.73,11.69,8.93,6.32,8.04,8.31,69.86,8.3,8.32,7.49,5.84,8.81,11.16,57.91,15.88,13.55,12.58,9.4,11.13,9.97,42.44,14.91,11.67,9.92,7.55
CMNH,HTB 1719,Pan_troglodytes,38.99,8.92,10.37,6.61,5.36,8.37,9.66,73.18,8.53,9.48,6.48,5.86,9.04,13.27,57.88,14.8,13.69,13.35,8.31,12.42,10.43,39.38,14.57,10.69,9.38,6.76
CMNH,HTB 1723,Pan_troglodytes,43.25,13.55,12.81,10.49,6.7,10.89,12.62,73.24,10.66,11.53,8.54,6.23,9.29,13.4,59.54,16.69,16.49,14.26,9.09,13.9,10.81,42.42,17.8,12.67,10.67,7.8
CMNH,HTB 2771,Pan_troglodytes,38.55,9.38,11.36,7.87,6.32,7.65,9.26,75.45,7.59,9.54,7.22,5.85,8.05,12.14,60.61,15.41,14.96,12.11,9.06,11.6,9.42,46.64,14.43,11.95,9.07,6.65
CMNH,HTB 2823,Pan_troglodytes,41.87,13.3,13,8.48,6.66,10.72,11.04,71.2,9.7,10.5,7.09,6.01,10.28,13.28,57.76,16.54,15.81,11.33,7.67,13.28,10.38,43.14,14.25,11.2,10.4,7
CMNH,HTB 3539,Pan_troglodytes,42.87,11.62,12.82,9.38,6.69,9.06,11.56,80.76,8.63,10.35,8.44,6.35,9.12,12.22,60.69,16.91,15.03,13.17,9.15,12.42,12.02,45.36,15.61,13.61,9.38,6.97
CMNH,HTB 1749,Pan_troglodytes,42.14,9.97,12.75,8.02,7.49,9.26,10.2,73.85,9.35,11.75,7.86,6.53,10.12,13.89,58.28,15.97,14.97,15.86,8.88,12.81,11.18,43.62,15.28,11.4,9.65,6.76
CMNH,HTB 1755,Pan_troglodytes,37.01,10.37,11.43,7.2,6.08,8.75,8.27,75.37,7.62,9.51,6.7,6.07,8.61,12.15,63.11,15.31,13.35,11.55,8.07,11.38,10.55,43.88,14.84,11.77,8.36,6.86
CMNH,HTB 1766,Pan_troglodytes,42.75,12.62,13.21,9.07,7.52,10.22,10.77,78.45,8.57,11.38,8.09,6.46,9.85,13.88,64.33,17.39,15.96,16.4,8.72,13.26,12.02,47.13,16.37,13.42,10.59,8.79
CMNH,HTB 1735,Pan_troglodytes,42.96,10.78,12.06,7.94,6.18,9.17,10.55,75.95,9.51,11.34,7.7,6.1,9.8,12.14,59.75,16.16,15.23,14.68,7.26,11.72,10.19,43.39,14.87,12.45,10.11,7.11
CMNH,HTB 1744,Pan_troglodytes,40.15,11.95,12.21,9.57,6.04,8.58,9.86,71.72,8.23,9.98,8.1,5.7,9.28,13.4,57.42,15.78,14.25,12.56,8.68,12.56,10.58,43.18,15.19,11.18,10.31,7.91
CMNH,HTB 1741,Pan_troglodytes,36.08,11.35,12.53,8.5,7.76,8.37,10.12,70.32,9.3,11.1,7.29,6.91,8.82,13.34,52.89,16.42,15.45,14.86,9.53,12.01,10.55,39.85,15.92,12.38,10.22,7.77
CMNH,HTB 1056,Pan_troglodytes,42.93,11.67,15.5,9.51,7.86,10.19,10.46,81.64,10.26,12.03,8.14,7.3,9.87,14.38,64.36,17.24,16.36,13.65,9.57,13.76,11.7,42.78,17.28,14.51,11.05,7.01
CMNH,HTH 1708,Pan_troglodytes,40.99,10.8,12.84,9.03,7.15,9.19,10.31,73.48,9.96,12.12,8.57,7.23,11.16,15.54,64.1,17.79,15.79,13.64,8.23,12.13,10.86,45.91,15.79,12.66,10.4,7.87
CMNH,HTB 1718,Pan_troglodytes,43.15,12.27,12.51,9,7.21,9.06,9.03,83.75,10.74,9.36,8.41,6.35,9.7,13.64,62.07,18.18,14.41,14.34,9.14,12.26,11.31,44.21,15.54,11.61,9.02,6.85
CMNH,HTH 1722,Pan_troglodytes,44.72,12.07,12.77,9.58,7.4,10.08,10.08,80.25,10.23,10.33,8.23,6.64,9.87,13.66,63.29,18.06,15.37,14.71,10.06,12.79,11.54,41.33,17.23,12.47,10.44,7.8
CMNH,HTB 1738,Pan_troglodytes,41.19,10.83,12.49,8.53,7.57,9.41,11.74,80.52,9.67,11.57,9.06,6.66,10.31,13.12,61.5,17.28,15.55,14.11,8.97,12.79,10.75,45.17,16.51,13.46,10.13,7.78
CMNH,HTB 1739,Pan_troglodytes,39.22,12.92,13.43,8.3,5.66,9.19,9.5,76.91,9.77,10.14,8.69,6.69,10.31,13.41,59.96,17.78,15.61,13.23,8.44,12.13,10.65,44.49,16.48,11.72,8.65,7.23
CMNH,HTB 1758,Pan_troglodytes,41.17,11.57,12.33,8.65,8.02,9.13,10.19,79.74,9.74,9.92,8.77,6.51,9.61,13.19,60.38,17.8,15.3,15.18,9.14,12.57,11.08,45.63,15.96,11.95,10.8,7.71
CMNH,HTB 2026,Pan_troglodytes,45.19,12.18,14.64,9.14,7.76,10.58,10.36,79.98,9.64,11.9,7.94,6.56,10.46,14.09,63.19,19.06,15.66,15.43,10.65,14.69,11.27,47.61,18.01,12.96,11.14,8
CMNH,HTB 1745,Pan_troglodytes,36.85,10.25,11.84,7.96,7,9.18,10.54,74.33,7.65,10.43,7.27,8.32,9.68,12.92,59.78,14.72,14.15,12.5,8.94,11.82,10.77,43.78,14.6,12.46,9.1,7.41
CMNH,HTB 543,Pan_troglodytes,40.47,11.87,13.2,9.18,6.87,10.47,11.29,71.31,10.1,11.11,7.35,6.17,10.65,13.89,58.49,17.34,15.22,14.68,9,13.8,11.41,41.91,15.5,11.2,9.81,7.62
